p min 76 1275
n	26	-146
n	27	-83.43299999999999
n	28	-672
n	29	-1337
n	30	-31
n	31	-559
n	32	-1950.51
n	33	-1089
n	34	-33
n	35	-32
n	36	-5495
n	37	-904
n	38	-1466
n	39	-143
n	40	-615
n	41	-564
n	42	-226
n	43	-3016
n	44	-253
n	45	-195
n	46	-38
n	47	-807
n	48	-551
n	49	-357.808
n	50	-814
n	51	-337
n	52	-2935.296
n	53	-577
n	54	-482
n	55	-495
n	56	-231
n	57	-322
n	58	-375.3800000000001
n	59	-12912
n	60	-325
n	61	-232.044
n	62	-3671
n	63	-2213
n	64	-705
n	65	-328
n	66	-1681
n	67	-1117
n	68	-275
n	69	-500
n	70	-2241
n	71	-382.626
n	72	-112.11
n	73	-57.03599999999999
n	74	-1464
n	75	-222
n	76	55570.24299999999
a	76	1	0	58268	0.2145259833871078
a	76	2	0	58268	0.2145259833871078
a	76	3	0	58268	0.2145259833871078
a	76	4	0	58268	0.2145259833871078
a	76	5	0	58268	0.2145259833871078
a	76	6	0	58268	0.308273838127274
a	76	7	0	58268	-0.3121353058282419
a	76	8	0	58268	-0.149310084437427
a	76	9	0	58268	0.1617525914738793
a	76	10	0	58268	0.1576765977895243
a	76	11	0	85013.012	0
a	76	12	0	51159.304	-0.4170795599564842
a	76	13	0	102435.144	0.1220284319608122
a	76	14	0	85595.69200000001	0.1460353869211081
a	76	15	0	58268	0.2145259833871078
a	76	16	0	58268	0.2145259833871078
a	76	17	0	58268	0.2145259833871078
a	76	18	0	46789.20400000001	0.2671556455630235
a	76	19	0	29658.412	0.4214655862222158
a	76	20	0	49178.192	0.2541777054349619
a	76	21	0	39913.58	0.3131766180833691
a	76	22	0	79827.16	0.1565883090416846
a	76	23	0	61297.936	0.2039220374402166
a	76	24	0	58268	0.2145259833871078
a	76	25	0	58268	0.2145259833871078
a	1	26	0	+Inf	46.1625
a	1	27	0	+Inf	38.41240875912409
a	1	28	0	+Inf	7.3125
a	1	29	0	+Inf	24.2125
a	1	30	0	+Inf	55.33750000000001
a	1	31	0	+Inf	11.4875
a	1	32	0	+Inf	42.02612393681652
a	1	33	0	+Inf	30.6625
a	1	34	0	+Inf	61.2375
